Genome;classified_CPBay_Spr15G08_DNA.bac.ar;classified_CPBay_Spr15L08_DNA.bac.ar;classified_CPBay_Spr31G08_DNA.bac.ar;classified_CPBay_Spr31L08_DNA.bac.ar;classified_CPBay_Sum06G08_DNA.bac.ar;classified_CPBay_Sum06L08_DNA.bac.ar;classified_CPBay_Sum15G08_DNA.bac.ar;classified_CPBay_Sum15L08_DNA.bac.ar;classified_CPBay_Sum20G08_DNA.bac.ar;classified_CPBay_Sum27G08_DNA.bac.ar;classified_CPBay_Sum27L08_DNA.bac.ar;classified_DEBay_Spr_20_G08.bac.ar;classified_DEBay_Spr_20_L08.bac.ar;classified_DEBay_Spr_30_G08.bac.ar;classified_DEBay_Spr_30_L08.bac.ar;classified_DEBay_Sum_019_D_G08.bac.ar;classified_DEBay_Sum_019_D_L08.bac.ar;classified_DEBay_Sum_019_N_G08.bac.ar;classified_DEBay_Sum_019_N_L08.bac.ar;classified_DEBay_Sum_22_D_G08.bac.ar;classified_DEBay_Sum_22_D_L08.bac.ar;classified_DEBay_Sum_22_N_G08.bac.ar;classified_DEBay_Sum_22_N_L08.bac.ar;classified_DEBay_Sum_29_D_G08.bac.ar;classified_DEBay_Sum_29_D_L08.bac.ar;classified_DEBay_Sum_29_N_G08.bac.ar;classified_DEBay_Sum_29_N_L08.bac.ar
Nanopelagicales_MAG_1;0;0;0;0;679.2131;869.75964;2047.9918;3864.7156;1256.7499;1087.5258;1603.6355;0;0;0;0;0;0;0;0;2449.2268;7853.5815;2949.9873;8510.747;727.6105;1287.5334;805.3076;1578.9872
Nanopelagicales_MAG_10;0;0;0;0;91470.36;139710.45;0;0;0;0;0;0;0;0;0;147743.4;247415.95;140596.28;220513.23;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_11;1773.1593;3019.4402;0;0;4410.135;7205.292;10319.328;10302.733;1436.6268;0;0;0;0;0;0;1635.9819;2844.787;2900.7476;2446.7312;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_12;0;0;0;0;5920.245;6944.037;0;0;0;0;0;0;0;0;0;8805.498;13439.316;14345.411;12562.143;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_13;0;0;0;0;58168.12;85461.516;0;0;0;0;0;0;0;0;0;11031.011;18758.479;11022.104;16102.43;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_14;0;0;0;0;7935.419;13022.516;0;0;0;0;0;0;0;0;0;2706.7996;5102.152;2896.032;4230.88;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_15;0;0;0;0;1080.6196;1440.3947;0;0;0;0;0;0;0;0;0;4454.934;8191.569;4386.394;7080.6616;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_16;0;0;0;0;46250.58;61738.87;0;0;0;0;0;0;0;0;0;8015.3794;17646.621;16506.799;11827.371;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_17;0;0;0;0;41647.16;57059.33;0;0;0;0;0;0;0;0;0;7931.1675;18045.428;17736.895;12046.748;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_18;4988.1904;3961.9263;0;0;2897.7668;2469.9526;0;0;0;0;0;0;0;0;0;11255.683;16117.871;26535.85;12035.402;0;0;0;0;0;0;0;0
Nanopelagicales_MAG_19;3207.2036;4583.3135;0;136.57458;1402.5533;1639.7087;0;118.502335;0;0;0;0;0;0;0;3335.5242;5501.5654;7217.4854;4263.339;0;0;0;0;0;0;0;0
